STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,Description,Facility Carried,Bridge Location,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,Year Built,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,FED_AGENCY,STATUS,Sufficiency Rating,Map Location
92002000001139,1,6,0,10,0,21,0,'MOUNT TABOR BROOK       ','NO DATA ENTERED   ','DANBY ROAD               ',99.99,16.64,0,0,0,0,0,0,3,64,64,9,1941,2,0,50,0,5,0,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,19,0,0,2,0,0,0,8.199999999999999,0,0,0,0,99.99,N,0,N,30.4,0,N,N,N,7,6,5,,5,,*,N,N,5,6,5,,,0,1110,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,N,N,N,N,,0,,Y,6,75,2032,Y,0,96,"(0, 0)"
100516000105161,2,8,0,C2001,,9,52750,'ST LAWRENCE ATLANTIC RR ','RAILROAD          ','0.04 MI TO JCT W VT147   ',3.73,0,,,,45003800,71474300,0,3,,,9,1916,0,2,140,1998,,,,,,,,,,,,,,,2,1,3,2,,,,,6.4,6.7,9.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N,2,,0,,,,,,,2,0,,,,,, ,,,"(45003800, 71474300)"
92002000003010,1,6,0,10,1,21,0,'BIG BRANCH BROOK        ','ROAD              ','NO DATA ENTERED          ',99.99,1.524,0,0,0,0,0,0,3,64,64,9,2005,2,0,50,0,9,6.7,0,0,0,1,1,1,1,4,0,0,0,A,1,5,4,10,0,0,1,0,7.3,38.4,39,15.2,0,6.7,7.3,99.99,N,0,N,30.4,0,8,8,8,9,N,5,,5,,*,5,N,5,9,3,,,0,1110,24,Y60,N  ,Y60,,,,,,,,0,N,2,,0,0,0,6,6,0,0,,0,,Y,8,75,2032,Y,0,90,"(0, 0)"
92005000013179,1,6,0,25,1,1,0,'MAD RIVER               ','ROAD              ','NO DATA ENTERED          ',99.99,0.009,0,0,0,0,0,999,3,64,64,9,2010,1,0,50,0,0,0,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,1,0,0,1,0,0,0,12.8,0,0,4.2,4.8,99.99,N,0,N,30.4,0,9,9,9,9,N,5,,5,,*,5,N,5,8,7,,,0,1110,24,N  ,N  ,N  ,,,,,,,,0,N,3,,0,0,0,1,1,0,0,,0,,Y,8,75,2032,Y,0,76.099999999999994,"(0, 0)"
100101002001011,1,8,0,C3024,5,1,325,'E.BR.DEAD CREEK         ','  C3024           ','0.65 MI TO JCT W VT22A   ',99.99,0,0,,,44014300,73191400,13,3,3,3,9,1949,2,0,100,2008,2,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,6.9,9.4,10.1,0,0,6.9,7.6,99.99,N,0,N,0,0,7,7,7,7,N,2,43.2,2,25.2,6,5,N,5,6,7,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,1969,1,0,0,0,2,0,,Y,3,150,2028,N,0,89.6,"(44014300, 73191400)"
100101002201011,1,8,0,C3004,5,1,325,'E BR DEAD CREEK         ','  C3004           ','1.7 MI W JCT VT 22A      ',99.99,0,0,,,44033200,73195300,13,3,3,3,9,1984,2,0,120,2008,5,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,7,18.3,18.899999999999999,0.2,0.2,7,7.7,99.99,N,0,N,0,0,7,8,6,8,N,2,66.599999999999994,2,37.799999999999997,6,4,N,5,7,6,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,8,180,2028,N,0,90.4,"(44033200, 73195300)"
100102000401021,1,8,0,C2001,5,1,8575,'POTASH BROOK            ','  C2001           ','0.3 MI TO JCT W CL3 TH27 ',99.99,0,0,,,43584500,73190300,3,3,3,3,8,1938,2,0,400,2008,0,6.4,0,0,0,1,1,1,1,5,0,0,0,P,1,5,3,2,0,0,1,0,6.3,18.899999999999999,19.5,0.1,0.1,6.3,7.1,99.99,N,0,N,0,0,5,6,5,8,N,1,44.1,1,26.1,5,4,N,4,8,8,35,1,19.5,710,24,N  ,N  ,N  ,,,,297,35,332,2011,0,N,2,,0,0,0,1,6,0,0,3,0,,Y,U,600,2028,N,0,65.8,"(43584500, 73190300)"
100102000501021,1,8,0,C2001,5,1,8575,'W. BR. DEAD CREEK       ','  C2001           ','0.1 MI TO JCT W CL3 TH17 ',99.99,0,0,,,43573600,73210200,11,3,3,3,8,1940,2,0,360,2008,0,6.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,6,15.8,16.5,0.1,0.1,6,6.9,99.99,N,0,N,0,0,5,6,7,8,N,1,22.5,1,13.5,4,3,N,5,7,8,35,1,16.5,710,24,N  ,N  ,N  ,,,,245,35,280,2011,0,N,2,,0,0,0,1,6,0,0,3,0,,Y,8,540,2028,N,2,50.8,"(43573600, 73210200)"
100102002201021,1,8,0,C3044,5,1,8575,'W. BR. DEAD CREEK       ','  C3044           ','0.6 MI TO JCT W VT125    ',99.99,0,0,,,43592500,73213400,6,3,3,3,9,1919,1,0,40,2008,0,4,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,2,0,0,1,0,4.1,12.2,12.8,0.2,0.2,4.1,4.3,99.99,N,0,N,0,0,6,6,7,7,N,2,11.7,2,8.1,2,5,N,4,5,5,31,1,20.399999999999999,610,24,N  ,N  ,N  ,,,,190,150,340,2011,0,N,3,,0,0,0,8,7,0,0,2,0,,Y,U,60,2028,N,1,39,"(43592500, 73213400)"
100102002401021,1,8,0,C3027,5,1,8575,'POTASH  BROOK           ','  C3027           ','0.5 MI TO JCT W CL3 TH28 ',99.99,0,0,,,43585600,73194000,8,3,3,3,9,1919,2,0,200,2008,0,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,6.1,9.4,10.4,0,0,6.1,6.2,99.99,N,0,N,0,0,6,6,7,6,N,2,31.5,2,20.7,6,4,N,5,0,8,35,1,10.4,610,24,N  ,N  ,N  ,,,,137,35,172,2011,0,N,2,,0,0,0,6,6,0,0,2,0,,Y,U,300,2028,N,1,64.400000000000006,"(43585600, 73194000)"
100103001101031,1,8,0,C2005,5,1,9025,'NEW HAVEN RIVER         ','  C2005           ','0.01 MI TO JCT W C3 TH22 ',99.99,0,0,,,44074400,73046000,3,3,3,3,9,1973,2,0,750,2008,6,9.800000000000001,0,0,0,1,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,8.800000000000001,32,32.6,0.2,0.2,8.800000000000001,10,99.99,N,0,N,0,0,7,8,6,8,N,2,54,2,23.4,6,5,N,5,7,6,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,2,0,2,0,,Y,8,1125,2028,N,0,85.1,"(44074400, 73046000)"
100103002001031,1,8,0,C4027,5,1,9025,'LITTLE NOTCH BROOK      ','  C4027           ','0.2 MI TO JCT W CL3 TH43 ',99.99,0,0,,,44051900,73051900,159,3,3,3,9,1919,1,0,20,2008,0,3.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.7,13.4,14.9,0,0,4.7,4.9,99.99,N,0,N,0,0,8,6,7,5,N,2,7.2,2,7.2,2,7,N,5,6,6,31,1,23.8,610,24,N  ,N  ,N  ,,,,250,150,400,2011,0,N,3,,0,0,2002,8,7,0,7,2,0,,Y,3,30,2028,N,1,44.4,"(44051900, 73051900)"
100103003101031,1,8,0,C2005,5,1,8950,'NEW HAVEN RIVER         ','  C2005           ','0.2 MI TO JCT W CL1 TH1  ',99.99,0,0,,,44075300,73045000,3,3,3,3,9,1928,2,0,1000,2008,0,7.3,0,0,0,0,0,0,0,3,0,0,0,K,1,5,3,10,0,0,1,0,6.1,30.8,32,0.2,0.2,6.1,6.6,99.99,N,0,N,0,0,6,2,3,6,N,5,0,5,0,0,3,N,4,0,3,35,1,32,611,24,Y24,N  ,Y12,611,,611,454,35,489,2011,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,3,1500,2028,N,1,11,"(44075300, 73045000)"
100104000201041,1,8,0,C3006,5,1,16000,'BEAVER BROOK            ','  C3006           ','0.6 MI TO JCT C3 TH 16   ',99.99,0,0,,,43581800,73134600,10,3,3,3,9,1986,2,0,200,2008,5,7.3,0,22,0,N,N,N,N,5,0,0,0,A,1,5,3,19,0,0,2,0,7.3,3,7.3,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,6,5,54,5,32.4,6,N,N,5,6,8,,,,710,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,N,N,N,N,2,0,,Y,8,300,2028,N,0,99.9,"(43581800, 73134600)"
100105000701051,1,8,0,C2006,5,1,26275,'LEWIS CREEK             ','  C2006           ','1.5 MI N JCT US 7        ',99.99,0,0,,,44144600,73144500,5,3,3,3,9,1982,2,0,450,2008,5,9.800000000000001,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,9.300000000000001,29.3,29.9,0,0,9.300000000000001,9.6,99.99,N,0,N,0,0,8,8,6,7,N,2,62.1,2,34.200000000000003,6,6,N,5,7,8,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,1,2,0,,Y,8,675,2028,N,0,99.9,"(44144600, 73144500)"
100105001101051,1,8,0,C2005,5,1,26275,'LITTLE OTTER CREEK      ','  C2005           ','0.32 MI TO JCT W US7     ',99.99,0,0,,,44121600,73150700,5,3,3,3,9,1953,2,0,1000,2008,2,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,3,2,1,2,7.3,26.5,45.1,0,0,7.3,7.8,99.99,N,0,N,0,0,5,6,5,8,N,2,33.299999999999997,2,21.6,5,4,N,5,8,7,35,1,45.1,610,24,N  ,N  ,N  ,,,,758,35,793,2011,0,N,2,,0,0,0,1,6,2,0,2,0,,Y,8,1500,2028,N,0,59,"(44121600, 73150700)"
100105002801051,1,8,0,C3035,5,1,26275,'MUD CREEK               ','  C3035           ','0.12 MI TO JCT W C3 TH36 ',99.99,0,0,,,44113300,73123600,11,3,3,3,9,1950,2,0,200,2008,0,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,6,9.800000000000001,10.7,0.1,0.1,6,6.6,99.99,N,0,N,0,0,7,7,7,5,N,1,29.7,1,17.100000000000001,5,3,N,5,7,7,35,1,10.7,610,24,N  ,N  ,N  ,,,,151,35,186,2011,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,U,300,2028,N,2,57.3,"(44113300, 73123600)"
100105002901051,1,8,0,C3026,5,1,26275,'LITTLE OTTER CREEK      ','  C3026           ','0.82 MI TO JCT W C3 TH35 ',99.99,0,0,,,44121300,73115000,159,3,3,3,9,1919,1,0,20,2008,0,4.3,0,13,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.3,9.4,10.1,0.1,0.1,4.3,5.5,99.99,N,0,N,0,0,8,7,6,7,N,2,79.2,2,59.4,6,6,N,5,5,6,35,1,10.1,510,24,N  ,N  ,N  ,,,,119,35,154,2011,0,N,3,,0,0,2007,8,7,0,7,2,0,,Y,3,30,2028,N,0,75.8,"(44121300, 73115000)"
100105003001051,1,8,0,C3050,5,1,26275,'VERMONT RAILWAY         ','  C3050           ','0.7 MI TO JCT W CL2 TH2  ',99.99,0,0,,,44095100,73125000,6,3,1,1,19,1986,2,0,200,2008,5,7.3,0,43,0,1,1,1,1,5,N,0,0,A,1,2,3,2,0,0,1,0,7,35.1,36.9,0.2,0.2,7,7.7,99.99,R,6.55,R,3.7,0,7,7,7,N,N,2,66.599999999999994,2,34.200000000000003,7,4,5,5,N,8,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,N,300,2028,N,0,89.4,"(44095100, 73125000)"
100105003201051,1,8,0,C3019,5,1,26275,'SOUTH SLANG BROOK       ','  C3019           ','1.9 MI TO JCT W CL2 TH5  ',99.99,0,0,,,44133200,73163200,13,3,3,3,9,1966,2,0,300,2008,4,5.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,5,0,0,1,0,6.9,13.1,13.7,0,0,6.9,7.6,99.99,N,0,N,0,0,8,8,7,6,N,2,42.3,2,36,7,4,N,5,4,8,,,,710,24,N  ,Y48,N  ,,907,,,,,,0,N,2,,0,0,0,2,6,0,0,2,0,,Y,8,450,2028,N,0,83.8,"(44133200, 73163200)"
100105003301051,1,8,0,C3034,5,1,26275,'LITTLE OTTER CREEK      ','  C3034           ','0.75 MI TO JCT W C3 TH14 ',99.99,0,0,,,44114700,73142000,5,3,3,3,9,1950,2,0,250,2008,0,6.7,0,40,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,6,18.600000000000001,19.5,0.1,0.1,6,6.6,99.99,N,0,N,0,0,7,7,7,8,N,2,29.7,2,17.100000000000001,5,3,N,5,7,6,35,1,19.5,610,24,N  ,N  ,N  ,,,,279,35,314,2011,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,8,375,2028,N,2,57.4,"(44114700, 73142000)"
100105003401051,1,8,0,C3035,5,1,26275,'LITTLE OTTER CREEK      ','  C3035           ','0.3 MI TO JCT W CL3 TH36 ',99.99,0,0,,,44115600,73124300,11,3,3,3,9,1966,2,0,100,2008,2,7.3,0,3,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,7.3,20.7,21.6,0,0,7.3,8.300000000000001,99.99,N,0,N,0,0,8,7,6,7,N,2,66.599999999999994,2,41.4,6,6,N,5,7,7,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,8,150,2028,N,0,97,"(44115600, 73124300)"
100106000201061,1,8,0,C2001,3,1,28600,'BR. OF NESHOBE R.       ','  C2001           ','0.25 MI TO JCT W CL3 TH2 ',99.99,0,0,,,43510300,73011300,6,3,3,3,9,1939,2,0,170,2007,0,7.3,0,45,0,1,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,6.6,25,25.6,0.1,0.1,6.6,7.7,99.99,N,0,N,0,0,7,7,7,7,N,2,48.6,2,28.8,7,4,N,5,8,8,,,,511,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,8,255,2027,N,0,80.7,"(43510300, 73011300)"
100106000901061,1,8,0,C3015,3,1,28600,'NESHOBE RIVER           ','  C3015           ','0.1 MI TO JCT W VT73     ',99.99,0,0,,,43502500,72594500,159,3,3,3,9,1960,1,0,30,2007,0,5.2,0,0,0,0,0,0,0,5,0,0,0,A,1,5,7,2,0,0,1,0,4.5,7.6,7.9,0.2,0.2,4.5,4.9,99.99,N,0,N,0,0,7,7,7,6,N,2,89.1,2,88.2,7,6,N,5,7,8,35,1,7.9,511,24,N  ,N  ,N  ,,,,84,35,119,2011,0,N,3,,0,0,0,8,7,0,7,2,0,,Y,U,45,2027,N,0,76.7,"(43502500, 72594500)"
100106001601061,1,8,0,C3002,3,1,28600,'BR. OF NESHOBE R.       ','  C3002  FH10     ','@ JCT W CL2 TH1          ',99.99,0,0,,,43505700,73012100,6,3,3,3,9,1939,2,0,100,2007,1,7.3,0,15,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,8,17.100000000000001,18,0,0,8,8.4,99.99,N,0,N,0,0,7,7,7,6,N,1,27,1,16.2,5,6,N,5,7,6,35,1,18,511,24,N  ,N  ,N  ,,,,326,35,361,2011,0,N,2,,0,2,1995,1,6,2,0,2,0,,Y,8,150,2027,N,0,77.7,"(43505700, 73012100)"
