ID,Reporting Agency,Report Number,Date,Street Address,Town,Number,Number1,Number2,Number3,Intersection,Distance From Intersection,Distance Unit,Posted Speed,Direction of Collision,Direction from Intersection,Easting,Northing,Mile Marker,Mile Marker 1,Mile Marker 2,AOT Roadway,AOT Route,AOT Actual Mile,LRS Number,How Mapped,Crash Type,Location 1
18,VTVSP0700,12A203150,07/18/2012,I-89 SB,Georgia,NO DATA,NO DATA,NO DATA,89,MM 106.4,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,451722,244409,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,106.4,I089-0000S,LRS,Injury,"(44.69836171, -73.10928962)"
19,VTVSP0700,12A202628,06/21/2012,I-89 SB MM 111.95,Fairfax,NO DATA,NO DATA,NO DATA,89,Mile Marker 111.95,NO DATA,NO DATA,65,3 - Same Direction Sideswipe,NO DATA,454269,250576,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,111.95,I089-0000S,LRS,Property Damage Only,"(44.76993681, -73.07586428)"
27,VTVSP0100,12A101709,05/15/2012,I 189 W,South Burlington,NO DATA,NO DATA,NO DATA,189,Us Route 7,NO DATA,NO DATA,50,1 - Rear End,NO DATA,445232,217089,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.21,I089-0000SR013B,LRS,Property Damage Only,"(44.45205249, -73.18619503)"
28,VT0040500,12CC08461,12/14/2012,I89 Exit 16 S/B,Colchester,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,30,3 - Same Direction Sideswipe,NO DATA,445812,222981,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.32,I089-0000SR016A,LRS,Property Damage Only,"(44.50524177, -73.18141085)"
29,VT0040500,12CC07450,10/27/2012,Exit 16 Off Ramp A/ Roosevelt Highway,Colchester,NO DATA,NO DATA,NO DATA,NO DATA,Exit 16 Off Ramp,NO DATA,NO DATA,35,"16 - Right Turn and Thru, Same Direction Sideswipe/Angle Crash ^^--",NO DATA,445813,223002,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.32,I089-0000SR016A,LRS,Property Damage Only,"(44.50524177, -73.18141085)"
30,VTVSP0100,12A103715,09/21/2012,I 89 S,Colchester,NO DATA,NO DATA,NO DATA,89,Exit 16 Ramp C,5,Feet,65,1 - Rear End,South,446162,222812,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.14,I089-0000SR016C,LRS,Property Damage Only,"(44.50438990, -73.17848770)"
31,VTVSP0100,12A103104,08/13/2012,I-89 SB Exit 17 Off Ramp B,Colchester,NO DATA,NO DATA,NO DATA,89,Exit 17 Off Ramp B,NO DATA,NO DATA,65,1 - Rear End,North,446880,232404,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.15,I089-0000SR017B,LRS,Property Damage Only,"(44.59027332, -73.17147023)"
32,VTVSP0100,12A104080,10/17/2012,I-89 SB On Ramp,Colchester,NO DATA,NO DATA,NO DATA,89,Exit 17,NO DATA,Feet,65,1 - Rear End,NO DATA,446665,232340,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.15,I089-0000SR017F,LRS,Property Damage Only,"(44.58933745, -73.17159024)"
41,VTVSP0100,12A102656,07/16/2012,I 89 S/B,South Burlington,NO DATA,NO DATA,NO DATA,89,Exit 13,5000,Feet,55,3 - Same Direction Sideswipe,North,445519,217560,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,87.68,I089-0000S,LRS,Property Damage Only,"(44.45504708, -73.18417978)"
42,VTVSP0100,12A101168,03/31/2012,I-89 SB,Colchester,NO DATA,NO DATA,NO DATA,89,NO DATA,NO DATA,NO DATA,65,3 - Same Direction Sideswipe,NO DATA,445701,228708,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,95.47,I089-0000S,LRS,Property Damage Only,"(44.55662823, -73.18338523)"
43,VTVSP0100,12A100815,03/02/2012,I-89 SB MM 95/20,Colchester,NO DATA,NO DATA,NO DATA,89,MM 95/20,NO DATA,NO DATA,65,7 - Other - Explain in Narrative,NO DATA,445489,228285,890,405,9520,State System (State Highways and Class I TH links),I-89,95.2,I089-0000S,LRS,Property Damage Only,"(44.55296653, -73.18579769)"
44,VTVSP0100,12A102008,06/03/2012,I-89 SB MM 95/05,Colchester,NO DATA,NO DATA,NO DATA,89,I 89 S @ MM 95/05,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,445390,228122,890,405,9505,State System (State Highways and Class I TH links),I-89,95.05,I089-0000S,LRS,Injury,"(44.55102233, -73.18740448)"
45,VTVSP1200,12A305189,12/05/2012,I89,Waterbury,NO DATA,NO DATA,NO DATA,89,NO DATA,100,Feet,65,6 - Single Vehicle Crash,South,478924,202121,890,1218,6150,State System (State Highways and Class I TH links),I-89,61,I089-0000S,LRS,Property Damage Only,"(44.31479685, -72.71794012)"
46,VTVSP1200,12A304157,09/20/2012,Mm57/75 I89 SB,Middlesex,NO DATA,NO DATA,NO DATA,89,Mm57/75,1,Miles,65,6 - Single Vehicle Crash,South,486553,199007,890,1210,5775,State System (State Highways and Class I TH links),I-89,57.75,I089-0000S,LRS,Injury,"(44.29113836, -72.66878383)"
55,VTVSP1200,12A304184,09/22/2012,I 89 SB,Berlin,NO DATA,NO DATA,NO DATA,89,Exit 7 On Ramp,200,Feet,65,6 - Single Vehicle Crash,South,493237,191083,890,1203,4995,State System (State Highways and Class I TH links),I-89,50.33,I089-0000S,LRS,Property Damage Only,"(44.21622257, -72.58401194)"
56,VTVSP1200,12A304866,11/13/2012,Mm50SB I89,Berlin,NO DATA,NO DATA,NO DATA,89,@ Mm50SB,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,NO DATA,NO DATA,890,1203,5000,State System (State Highways and Class I TH links),I-89,50,I089-0000S,LRS,Property Damage Only,"(44.21159551, -72.58285927)"
57,VTVSP1200,12A302281,06/02/2012,I89SB Mm50,Berlin,NO DATA,NO DATA,NO DATA,89,Exit 7,400,Feet,65,6 - Single Vehicle Crash,South,493366,190162,890,1203,5000,State System (State Highways and Class I TH links),I-89,50,I089-0000S,LRS,Property Damage Only,"(44.21159551, -72.58285927)"
58,VTVSP1200,12A304378,10/06/2012,i-89 SB Mm49.95,Berlin,NO DATA,NO DATA,NO DATA,89,Mm49.95,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,493335,190240,89,1203,4995,State System (State Highways and Class I TH links),I-89,49.95,I089-0000S,LRS,Property Damage Only,"(44.21082561, -72.58253517)"
59,VTVSP1200,12A301156,03/13/2012,Interstate 89 SB,Berlin,NO DATA,NO DATA,NO DATA,89,Exit 6 Off Ramp,1,Miles,65,6 - Single Vehicle Crash,South,493850,186019,890,1203,4740,State System (State Highways and Class I TH links),I-89,47.4,I089-0000S,LRS,Injury,"(44.17124943, -72.57686912)"
60,VTVSP1200,12A300997,03/01/2012,I89 SB,Berlin,NO DATA,NO DATA,NO DATA,89,Exit 6,5,Feet,65,6 - Single Vehicle Crash,South,493672,185072,890,1203,4680,State System (State Highways and Class I TH links),I-89,46.9,I089-0000S,LRS,Property Damage Only,"(44.16597107, -72.57899351)"
69,VTVSP1100,12D300267,01/17/2012,I 89 S,Royalton,NO DATA,NO DATA,NO DATA,89,I 89 S; MM 19.2,NO DATA,NO DATA,65,1 - Rear End,NO DATA,496459,145793,890,1416,192,State System (State Highways and Class I TH links),I-89,19.2,I089-0000S,LRS,Property Damage Only,"(43.82100918, -72.53903699)"
70,VTVSP1100,12D302537,06/18/2012,I89 SB MM 18.8,Royalton,NO DATA,NO DATA,NO DATA,89,Exit 3,2,Miles,65,6 - Single Vehicle Crash,South,497318,146956,890,1416,1880,State System (State Highways and Class I TH links),I-89,18.8,I089-0000S,LRS,Property Damage Only,"(43.82274268, -72.53189295)"
71,VTVSP1100,12D305124,11/21/2012,I-89 SB MM 16/05,Royalton,NO DATA,NO DATA,NO DATA,89,Exit 2,3,Miles,65,6 - Single Vehicle Crash,North,499666,143663,890,1416,1605,State System (State Highways and Class I TH links),I-89,16.05,I089-0000S,LRS,Property Damage Only,"(43.79071662, -72.50041555)"
72,VTVSP1100,12D300165,01/13/2012,I 89 Southbound,Sharon,NO DATA,NO DATA,NO DATA,89,MM 13/50,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,503663,142903,890,1417,1350,State System (State Highways and Class I TH links),I-89,13.5,I089-0000S,LRS,Injury,"(43.78629964, -72.45400377)"
73,VTVSP1100,12D301453,04/14/2012,I-89SB,Sharon,NO DATA,NO DATA,NO DATA,89,I 89 S; MM13,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,503676,142908,890,1417,130,State System (State Highways and Class I TH links),I-89,13,I089-0000S,LRS,Injury,"(43.78228207, -72.44648040)"
74,VTVSP1100,12D302533,06/18/2012,I89 Southbound,Sharon,NO DATA,NO DATA,NO DATA,89,I89 S MM 12/55,NO DATA,NO DATA,65,1 - Rear End,South,504439,141757,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,12.55,I089-0000S,LRS,Injury,"(43.77594063, -72.44474578)"
83,VTVSP1100,12D304686,10/19/2012,I-89 South,Hartford,NO DATA,NO DATA,NO DATA,89,MM 0025,NO DATA,NO DATA,65,1 - Rear End,NO DATA,513564,126239,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,0.25,I089-0000S,LRS,Property Damage Only,"(43.63680465, -72.33370805)"
84,VTVSP1100,12D304761,10/24/2012,I-89 SB,Hartford,NO DATA,NO DATA,NO DATA,89,I-91 NB On Ramp,NO DATA,NO DATA,65,1 - Rear End,NO DATA,513635,126136,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,0.08,I089-0000S,LRS,Property Damage Only,"(43.63530507, -72.33095717)"
85,VTVSP0700,12A200166,01/14/2012,I-89 N,Swanton,NO DATA,NO DATA,NO DATA,89,OFF RAMP,10,Feet,65,1 - Rear End,NO DATA,452148,269302,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.149,I089-0000NR021C,LRS,Property Damage Only,"(44.92246172, -73.10659667)"
86,VTVSP0700,12A200158,01/13/2012,I-89 NB Exit 18 Off-ramp A,Georgia,NO DATA,NO DATA,NO DATA,89,Ethan Allen Highway,10,Feet,35,1 - Rear End,West,459084,174512,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.15,I089-0000NR018A,LRS,Property Damage Only,"(44.69718721, -73.10749051)"
87,VT0060000,12FRC1982,11/21/2012,Exit 18 Off Ramp A,Georgia,NO DATA,NO DATA,NO DATA,89,Ethan Allen Highway,200,Feet,99,1 - Rear End,West,004-51-745,002-44-367,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.09,I089-0000NR018A,LRS,Property Damage Only,"(44.69778841, -73.10875826)"
88,VT0040500,12CC07576,11/02/2012,"I89 South, Exit 16 Off Ramp A",Colchester,NO DATA,7,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,35,"16 - Right Turn and Thru, Same Direction Sideswipe/Angle Crash ^^--",NO DATA,004-45-859E,002-22-952N,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.33,I089-0000NR017D,LRS,Property Damage Only,"(44.58987982, -73.16985047)"
97,VT0040300,12SB015768,11/23/2012,"I89N, Exit 14E Ramp F",South Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Williston Road,10,Feet,25,1 - Rear End,East,445731,219007,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.24,I089-0000NR014F,LRS,Property Damage Only,"(44.46927541, -73.18193787)"
98,VTVSP0100,12A103541,09/11/2012,I 89 NB Exit 14E Ramp F,South Burlington,NO DATA,NO DATA,NO DATA,89,I 89 NB Exit 14E/ Rt 2,NO DATA,NO DATA,35,1 - Rear End,NO DATA,445705,218997,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.22,I089-0000NR014F,LRS,Property Damage Only,"(44.46918846, -73.18236831)"
99,VT0040300,12SB009522,07/25/2012,Interstate 89 Exit 14 Ramp F,South Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Williston Road,200,Feet,99,3 - Same Direction Sideswipe,West,445711,219004,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.21,I089-0000NR014F,LRS,Property Damage Only,"(44.46909224, -73.18254846)"
100,VT0040300,12SB009326,07/21/2012,I-89 Ramp F,South Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Kennedy Drive,25,Feet,30,2 - Head On,NO DATA,445956,217174,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.16,I089-0000NR014F,LRS,Property Damage Only,"(44.46852959, -73.18335563)"
101,VTVSP0100,12A100080,01/08/2012,I-89 Exit 13 Ramp F,South Burlington,NO DATA,NO DATA,NO DATA,89,Kennedy Dr,NO DATA,NO DATA,35,6 - Single Vehicle Crash,NO DATA,445927,217159,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.16,I089-0000NR014F,LRS,Property Damage Only,"(44.46852959, -73.18335563)"
102,VT0040300,12SB00378,01/15/2012,189 Eastbound Exit 13 Ramp F,South Burlington,NO DATA,NO DATA,NO DATA,189,Dorset Street,30,Feet,55,3 - Same Direction Sideswipe,NO DATA,445958,217167,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.16,I089-0000NR013F,LRS,Property Damage Only,"(44.45279590, -73.17877408)"
111,VTVSP0700,12A203570,08/08/2012,I-89 NB MM 123.4,Swanton,NO DATA,NO DATA,NO DATA,89,Exit 21,500,Feet,65,6 - Single Vehicle Crash,South,452131,268937,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,123.4,I089-0000,LRS,Property Damage Only,"(44.92272400, -73.10762904)"
112,VTVSP0700,12A200809,02/25/2012,I-89 Exit 21 Off-ramp,Swanton,NO DATA,NO DATA,NO DATA,89,NB Off-ramp,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,452115,269113,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,123.25,I089-0000,LRS,Property Damage Only,"(44.92068764, -73.10658563)"
113,VTVSP0700,12A200789,02/24/2012,I-89 SB Exit 21,Swanton,NO DATA,NO DATA,NO DATA,89,MM 123/50 Exit 21,1,Miles,65,6 - Single Vehicle Crash,South,452120,269076,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,122.75,I089-0000,LRS,Property Damage Only,"(44.91388864, -73.10294691)"
114,VTVSP0700,12A202455,06/09/2012,I-89NB┬á MM121.7,Swanton,NO DATA,NO DATA,NO DATA,89,MM 121.6,150,Feet,65,6 - Single Vehicle Crash,North,453042,266851,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,121.63,I089-0000,LRS,Injury,"(44.89937510, -73.09290712)"
115,VTVSP0700,12A200234,01/17/2012,I-89,Swanton,NO DATA,NO DATA,NO DATA,89,I89 North Bound,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,452223,268778,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,121,I089-0000,LRS,Property Damage Only,"(44.89124988, -73.08702729)"
116,VTVSP0700,12A200366,01/27/2012,I-89 NB MM 120.8,Swanton,NO DATA,NO DATA,NO DATA,89,MM 120.8,70,Feet,65,6 - Single Vehicle Crash,West,453884,263442,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,120.78,I089-0000,LRS,Property Damage Only,"(44.88817013, -73.08585676)"
124,VTVSP0700,12A200388,01/28/2012,I-89 NB MM 105.1,Georgia,NO DATA,NO DATA,NO DATA,89,Mile Marker 105.1,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,450289,243158,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,105.1,I089-0000,LRS,Injury,"(44.68570282, -73.12750396)"
125,VTVSP0700,12A204565,09/29/2012,MM104.8 Nobo,Milton,NO DATA,NO DATA,NO DATA,89,Exit 18 /IS89 No,3,Miles,65,6 - Single Vehicle Crash,South,450896,244006,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,104.8,I089-0000,LRS,Property Damage Only,"(44.68143660, -73.12874173)"
126,VTVSP0100,12A104675,11/29/2012,I-89NB Mm 103/45,Milton,NO DATA,NO DATA,NO DATA,89,Mm 10/45,10,Feet,65,6 - Single Vehicle Crash,South,449502,240537,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,103.45,I089-0000,LRS,Property Damage Only,"(44.66288837, -73.13697664)"
127,VTVSP0100,12A100345,01/27/2012,I-89 N MM 100,Milton,NO DATA,NO DATA,NO DATA,89,MM 100,100,Feet,65,6 - Single Vehicle Crash,South,447667,235459,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,99.98,I089-0000,LRS,Property Damage Only,"(44.61760224, -73.15916342)"
128,VTVSP0100,12A104617,11/26/2012,I 89 N,Colchester,NO DATA,NO DATA,NO DATA,89,Mm97.8/exit 17,200,Feet,65,6 - Single Vehicle Crash,South,446791,232301,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,97.8,I089-0000,LRS,Injury,"(44.58888308, -73.17030724)"
129,VTVSP0100,12A100054,01/05/2012,I-89 NB MM 97,Colchester,NO DATA,NO DATA,NO DATA,89,Exit 17,1,Miles,65,3 - Same Direction Sideswipe,North,446443,232516,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,97,I089-0000,LRS,Property Damage Only,"(44.57810866, -73.17648969)"
137,VTVSP0100,12A104702,11/26/2012,I.89 NB MM 89.2,South Burlington,NO DATA,NO DATA,NO DATA,89,Patchen Rd Bridge,400,Feet,55,7 - Other - Explain in Narrative,North,446228,220170,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,89.2,I089-0000,LRS,Injury,"(44.47571667, -73.17946627)"
138,VTVSP0100,12A103186,08/17/2012,I-89 Mm 89 N,South Burlington,NO DATA,NO DATA,NO DATA,89,NO DATA,NO DATA,NO DATA,55,1 - Rear End,NO DATA,445818,219533,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,89,I089-0000,LRS,Property Damage Only,"(44.47318854, -73.18182025)"
139,VTVSP0100,12A102440,07/03/2012,I 89NB,South Burlington,NO DATA,NO DATA,NO DATA,89,Approx Exit 14E,100,Feet,55,6 - Single Vehicle Crash,South,445479,218757,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,89,I089-0000,LRS,Property Damage Only,"(44.47318854, -73.18182025)"
140,VTVSP0100,12A103017,08/07/2012,I 89 N,South Burlington,NO DATA,NO DATA,NO DATA,89,Exit 14E,0,Miles,55,6 - Single Vehicle Crash,North,445547,219045,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,88.57,I089-0000,LRS,Property Damage Only,"(44.46719776, -73.18522959)"
141,VTVSP0100,12A103591,09/14/2012,I-89 NB,South Burlington,NO DATA,NO DATA,NO DATA,89,Mm88/Exit 14W Northbound,15,Feet,55,1 - Rear End,North,445568,219127,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,88,I089-0000,LRS,Property Damage Only,"(44.45968686, -73.18479940)"
142,VTVSP0100,12A100343,01/27/2012,I 89N,South Burlington,NO DATA,NO DATA,NO DATA,I89,MM 86.6,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,447022,216806,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,86.6,I089-0000,LRS,Property Damage Only,"(44.44959294, -73.16609159)"
150,VTVSP0100,12A104636,11/26/2012,Interstate 89 N,Williston,NO DATA,NO DATA,NO DATA,89,Mm 80.2,10,Feet,65,6 - Single Vehicle Crash,South,456764,214901,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,80.2,I089-0000,LRS,Property Damage Only,"(44.43249577, -73.04123746)"
151,VTVSP0100,12A105751,12/29/2012,I 89 Sb MM 79,Richmond,NO DATA,NO DATA,NO DATA,89,I 89 Sb MM 70,NO DATA,NO DATA,65,1 - Rear End,NO DATA,458787,213715,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,79,I089-0000,LRS,Property Damage Only,"(44.42211165, -73.02193516)"
152,VTVSP0100,12A104621,11/26/2012,Interstate 89,Richmond,NO DATA,NO DATA,NO DATA,89,Exit 11,0,Miles,65,6 - Single Vehicle Crash,South,459375,213895,890,78,411,State System (State Highways and Class I TH links),I-89,78.4,I089-0000,LRS,Property Damage Only,"(44.42410989, -73.00994443)"
153,VTVSP0100,12A100075,01/07/2012,I 89 N MM 75,Richmond,NO DATA,NO DATA,NO DATA,89,MM 75/75,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,462520,204525,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,75.75,I089-0000,LRS,Property Damage Only,"(44.39784984, -72.97540401)"
154,VTVSP0100,12A105098,12/26/2012,I 89 N,Richmond,NO DATA,NO DATA,NO DATA,89,Milmarker 75,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,463281,210473,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,75,I089-0000,LRS,Property Damage Only,"(44.39350477, -72.96163386)"
155,VTVSP0100,12A104388,11/07/2012,I-89 NB MM 74.4,Richmond,NO DATA,NO DATA,NO DATA,89,U- Turn,100,Feet,65,6 - Single Vehicle Crash,South,464190,210026,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,74.4,I089-0000,LRS,Property Damage Only,"(44.39004869, -72.95053165)"
164,VTVSP1200,12A300093,01/06/2012,I89NB,Waterbury,NO DATA,NO DATA,NO DATA,89,Mm66,NO DATA,Feet,65,6 - Single Vehicle Crash,NO DATA,476726,206492,890,1218,6600,State System (State Highways and Class I TH links),I-89,66,I089-0000,LRS,Property Damage Only,"(44.35736317, -72.79145027)"
165,VTVSP1200,12A300900,02/25/2012,I89 NB Mm66,Waterbury,NO DATA,NO DATA,NO DATA,89,Waterbury Rest Area NB,0,Miles,65,6 - Single Vehicle Crash,South,461403,206044,890,1218,6600,State System (State Highways and Class I TH links),I-89,66,I089-0000,LRS,Property Damage Only,"(44.35736317, -72.79145027)"
166,VTVSP1200,12A304540,10/19/2012,I-89 NB,Waterbury,NO DATA,NO DATA,NO DATA,89,Exit 10,1,Miles,65,6 - Single Vehicle Crash,North,478378,205530,890,1218,6485,State System (State Highways and Class I TH links),I-89,64.87,I089-0000,LRS,Injury,"(44.34972799, -72.77124970)"
167,VTVSP1200,12A303651,08/19/2012,I89 NB,Waterbury,NO DATA,NO DATA,NO DATA,89,Mm64/55,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,478717,205164,89,1218,6455,State System (State Highways and Class I TH links),I-89,64.55,I089-0000,LRS,Property Damage Only,"(44.34617241, -72.76670508)"
168,VTVSP1200,12A300166,01/12/2012,I89 NB,Waterbury,NO DATA,NO DATA,NO DATA,89,Mm62/60,25,Feet,65,6 - Single Vehicle Crash,South,480660,203196,890,1218,6260,State System (State Highways and Class I TH links),I-89,62.6,I089-0000,LRS,Injury,"(44.32897349, -72.74289820)"
169,VTVSP1200,12A305351,12/17/2012,I-89 NB,Waterbury,NO DATA,NO DATA,NO DATA,89,Mm61/30,200,Feet,65,3 - Same Direction Sideswipe,North,482254,201894,890,1218,6130,State System (State Highways and Class I TH links),I-89,61.34,I089-0000,LRS,Property Damage Only,"(44.31734484, -72.72335713)"
178,VTVSP1200,12A300912,02/13/2012,Interstate 89 NB,Middlesex,NO DATA,NO DATA,NO DATA,89,Mm56.6,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,487604,197564,890,1210,5660,State System (State Highways and Class I TH links),I-89,56.6,I089-0000,LRS,Property Damage Only,"(44.27815094, -72.65520206)"
