School Code,Town Name,School Number,School Amount,Circuit Breaker Number,Circuit Breaker Amount,Renter Rebate Number, Renter Rebate Amount, Total Number, Total Amount
128,Morgan,170,276910,28,5664,*,*,170,282574
129,Morristown,967,1264498,416,303142,167,"85,469",1134,1653109
130,Mt. Holly,287,447256,86,29650,*,*,287,476906
131,Mt. Tabor,47,56819,*,*,*,*,47,56819
132,Newark,147,156765,54,17204,*,*,147,173969
133,Newbury,398,405844,110,44953,25,"17,173",423,467970
134,Newfane,410,718992,160,72712,16,"14,868",426,806572
135,New Haven,368,595202,75,26846,18,"13,970",386,636017
136,Newport City,643,455430,350,239292,225,"96,360",868,791081
137,Newport Town,370,481308,94,30028,23,"12,979",393,524315
138,N. Bennington ID,137,145115,64,53834,32,"25,047",169,223996
139,Northfield,670,576947,253,149876,77,"49,878",747,776700
140,North Hero,213,463559,31,12209,*,*,213,475769
141,Norton,48,40173,*,*,*,*,48,40173
142,Norwich,393,1148402,114,97129,36,"22,304",429,1267835
143,Orange,292,297304,73,23935,*,*,292,321239
144,Orleans,136,70864,81,48591,35,"12,848",171,132303
145,Orwell,300,363379,72,27224,*,*,300,390603
146,Panton,143,252721,47,32197,*,*,143,284918
147,Pawlet,278,362987,95,40676,14,"10,042",292,413706
148,Peacham,174,313082,50,18433,*,*,174,331515
149,Peru,81,169817,20,7409,*,*,81,177227
150,Pittsfield,107,180663,46,30467,*,*,107,211130
151,Pittsford,601,688018,168,65834,24,"14,328",625,768180
152,Plainfield,260,307986,107,64394,18,"8,133",278,380513
153,Plymouth,134,319758,45,17029,*,*,134,336787
154,Pomfret,158,315188,34,12195,*,*,158,327383
155,Poultney,530,601747,165,64777,48,"31,228",578,697752
156,Pownal,665,672848,168,49546,48,"30,792",713,753186
157,Proctor,298,233245,139,83917,28,"19,374",326,336536
158,Putney,386,665075,180,114706,51,"33,960",437,813741
159,Randolph,767,773984,327,250227,109,"50,167",876,1074378
160,Reading,156,284996,63,20892,*,*,156,305888
161,Readsboro,151,118556,80,61369,17,"3,456",168,183381
162,Richford,381,221448,134,55605,82,"51,061",463,328114
163,Richmond,707,1140304,181,130667,45,"27,449",752,1298419
164,Ripton,113,158929,37,14433,*,*,113,173362
165,Rochester,235,256886,74,32475,16,"10,357",251,299718
166,Rockingham,728,796644,418,458397,188,"99,392",916,1354433
167,Roxbury,134,108865,57,32087,*,*,134,140952
168,Royalton,479,575391,203,107148,29,"26,407",508,708946
169,Rupert,163,235169,54,25096,*,*,163,260265
170,Rutland City,2097,1578361,1143,1330522,690,"384,523",2787,3293406
171,Rutland Town,771,1008258,32,5676,66,"37,915",837,1051849
172,Ryegate,262,288790,105,41605,*,*,262,330395
173,St. Albans City,911,851737,375,213604,346,"193,450",1257,1258792
174,St. Albans Town,1296,1685248,222,69021,137,"116,742",1433,1871012
175,St. George,110,184902,19,6147,*,*,110,191049
176,St. Johnsbury,1015,701975,453,257727,256,"127,829",1271,1087532
177,Salisbury,251,473729,52,14687,13,"8,793",264,497209
178,Sandgate,83,102838,33,13690,*,*,83,116527
179,Searsburg,31,21756,11,4245,*,*,31,26001
180,Shaftsbury,643,706438,113,36515,13,"9,713",656,752666
181,Sharon,281,352918,106,62789,15,"10,251",296,425958
182,Sheffield,126,91369,15,2385,*,*,126,93754
183,Shelburne,961,2024427,196,84736,115,"129,175",1076,2238338
184,Sheldon,457,493040,78,23578,14,"12,985",471,529603
185,Killington,176,402497,40,12778,13,"9,943",189,425218
186,Shoreham,255,359899,97,46168,*,*,255,406066
187,Shrewsbury,228,261138,53,24070,*,*,228,285207
188,South Burlington,2975,5697958,671,289730,634,"626,582",3609,6614270
189,South Hero,313,728539,63,29955,14,"11,212",327,769706
190,Springfield,1526,1553244,868,1179987,189,"101,366",1715,2834597
191,Stamford,193,189370,64,29098,*,*,193,218468
192,Stannard,46,53597,30,14992,*,*,46,68590
193,Starksboro,375,504843,89,32891,*,*,375,537734
194,Stockbridge,153,200034,53,25587,*,*,153,225621
195,Stowe,596,1553739,178,118001,94,"62,849",690,1734590
196,Strafford,242,439337,95,89640,*,*,242,528977
197,Stratton,41,73718,*,*,*,*,41,73718
198,Sudbury,140,193743,21,6280,*,*,140,200023
199,Sunderland,227,312768,56,16710,*,*,227,329478
200,Sutton,220,213236,91,34779,*,*,220,248015
201,Swanton,1368,1437037,251,119403,131,"86,739",1499,1643180
202,Thetford,590,1121795,212,124889,17,"11,368",607,1258052
203,Tinmouth,137,214740,65,33254,*,*,137,247995
204,Topsham,279,248436,118,50394,*,*,279,298830
205,Townshend,255,409425,134,89512,23,"11,664",278,510601
206,Troy,360,295971,125,47144,24,"13,166",384,356281
207,Tunbridge,303,390862,113,69194,*,*,303,460057
208,Underhill ID,120,203231,24,16067,*,*,120,219298
209,Underhill Town,476,792089,95,46767,10,"11,610",486,850465
210,Vergennes,486,565645,162,100409,86,"48,921",572,714975
211,Vernon,318,268239,85,24932,28,"21,873",346,315044
212,Vershire,157,204590,89,66553,*,*,157,271143
213,Victory,31,34075,*,*,*,*,31,34075
214,Waitsfield,334,700022,92,48826,21,"18,097",355,766945
215,Walden,234,239706,87,38515,*,*,234,278221
216,Wallingford,452,581480,103,27051,21,"9,711",473,618243
217,Waltham,104,134657,22,7313,*,*,104,141970
218,Wardsboro,196,259438,82,32097,*,*,196,291535
219,Warren,311,689197,103,60662,18,"15,145",329,765004
220,Washington,258,264329,55,17286,29,"20,337",287,301952
221,Waterbury,830,1355088,192,84491,106,"60,074",936,1499653
222,Waterford,309,437812,86,28712,*,*,309,466524
223,Waterville,160,182005,32,10623,*,*,160,192628
224,Weathersfield,678,831813,277,122725,17,"14,406",695,968944
225,Wells,260,271084,68,19553,*,*,260,290637
226,Wells River,61,51865,35,26302,20,"10,731",81,88898
227,West Fairlee,137,197420,69,50593,*,*,137,248013
228,Westfield,130,172358,56,26010,*,*,130,198368
229,Westford,430,667490,112,76932,*,*,430,744422
230,West Haven,61,63451,21,11261,*,*,61,74713
231,Westminster,646,790981,282,155473,25,"21,626",671,968080
232,Westmore,121,197012,38,14811,*,*,121,211822
233,Weston,113,209958,35,16987,*,*,113,226945
234,West Rutland,441,384672,181,76626,43,"25,275",484,486574
235,West Windsor,258,579521,83,43386,*,*,258,622907
236,Weybridge,154,342921,54,28380,*,*,154,371301
237,Wheelock,172,155089,71,27943,*,*,172,183032
238,Whiting,89,99548,23,11456,*,*,89,111003
239,Whitingham,315,533219,147,97155,*,*,315,630374
240,Williamstown,705,622582,148,51451,62,"58,691",767,732724
241,Williston,1572,2870585,139,41856,173,"139,572",1745,3052013
242,Wilmington,385,645681,151,66771,52,"32,539",437,744991
243,Windham,111,170610,56,40576,38,"25,497",149,236683
244,Windsor,581,580112,279,332256,146,"104,818",727,1017186
245,Winhall,150,372941,44,19434,*,*,150,392375
246,Winooski,859,1107324,327,379970,353,"221,472",1212,1708766
247,Wolcott,381,460488,163,88860,22,"17,451",403,566799
248,Woodbury,217,274072,61,15912,*,*,217,289983
249,Woodford,75,72951,*,*,*,*,75,72951
250,Woodstock,519,1356577,164,105245,48,"41,299",567,1503121
251,Worcester,219,289933,80,39291,*,*,219,329224
253,Jericho ID,187,314990,43,19991,*,*,187,334981
254,Shaftbury ID,156,194163,34,9939,*,*,156,204102
300,Suppressed,24,24075,49,13862,472,"346,893",545,384830
,State,110912,150629373,34888,21961680,"13,192","8,801,052",124104,181392105
1. Property tax adjustment claims are generally submitted with homestead declarations when income tax returns are filed.  The adjustment amount is based on household income from the previous year and taxes paid in the prior fiscal year.  The adjustments reported on in this table were applied in fiscal year 2016 (Property tax bills paid between July 2015 to June 2016).  ,,,,,,,,,
"2.  Every household that receives an adjustment to their property taxes gets a reduction based on the education (school) property taxes they paid the prior year.  This adjustment was formerly called the ""prebate.""  ",,,,,,,,,
"3. The circuit breaker adjustment is calculated on the combined education and muncipal property taxes remaining after the first adjustment has been appllied. Only those claimants with Household Income of $47,000 or less are eligible for this adjustment.  This adjustment is often called ""additional adjustment"" and was formerly called ""homeowner rebate.""  Cells of 10 or fewer returns suppressed.  State totals include suppressed data.",,,,,,,,,
4. Circuit Breaker recipient numbers are a subset of the School Property Tax adjustment recipients but renter rebate recipients are an entirely separate group. Only year-long Vermont renters are eligible for the renter rebate.  This rebate is calculated based on household income from the previous year and total rent paid in the previous year.  Cells of 10 or fewer returns suppressed.  State totals include suppressed data.,,,,,,,,,
5. Total numbers are the sum of school property tax and renter rebate recipients. Total amounts are additive (School Property Tax plus Circuit Breaker plus Renter Rebate).,,,,,,,,,
* indicates fewer than 10 returns - data suppressed,,,,,,,,,
