Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT0210,"CRAFTSBURY, EAST",John W. Simpson Memorial,300 Shields Ln.,1972 E Craftsbury Rd,Orleans,(802) 586-9692,N/R,N/R,1180,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"1972 E Craftsbury Rd
Craftsbury Common, VT 05827
(44.63322055500049, -72.32728433299962)",,N/A,Craftsbury Common
2011-2012,VT0136,"RYEGATE, SOUTH",South Ryegate Public,140 Church St.,140 Church St.,Caledonia,N/R,N/R,N/R,1255,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,2300,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"140 Church St.
South Ryegate, VT 05069
(44.186405771000466, -72.14030334299963)",,N/R,South Ryegate
2010-2011,VT0197,HARTFORD,Hartford,PO Box 512 ,1587 Maple St.,Windsor,(802) 296-2568,40.27,06/30/2011,4478,0,0,29,0.71,35,0.88,64,1.59,15,2400,$0.00,$0.00,$0.00,$0.00,$0.00,$74300.00,$16.59,$3451.00,$77751.00,$0.00,$77.00,$2550.00,$2627.00,N/A,N/A,N/A,N/A,$9966.00,$2.23,$29184.00,$6660.00,$35844.00,$27492.00,$73302.00,$16.37,$2183.00,$0 ,NA,NA,14776,3.3,0,428,293,721,472,50,522,16019,19,3,22,24,0,N/A,N/A,1832,40.91%,15132,3.38,1040,0.23,12720,10031,22751,5.08,1.42%,89,731,10,93,0,103,67,2165,0,2232,0.5,3,5,0,50,11,8,25,60,5,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,Incorporated,Yes,Mandarin Oasis,"1587 Maple St.
Hartford, VT 05047
(43.661307267000495, -72.34256022599965)",512,www.hartfordvtlibrary.org,Hartford
2010-2011,VT0037,CHESTER,Whiting,PO Box 68,117 Main St.,Windsor,(802) 875-2277,26.77,12/31/2010,3154,0,0,32,0.8,79,1.98,111,2.78,15,2600,$0.00,$0.00,$0.00,$0.00,$0.00,$70400.00,$22.32,$17200.00,$87600.00,$100.00,$64.00,$0.00,$164.00,$0.00,N/A,N/A,N/A,$10424.00,$3.31,N/A,N/A,$63835.00,$9392.00,$83651.00,$26.52,$0.00,$0 ,6700,3400,10100,3.2,0,450,250,700,230,85,315,11115,28,5,33,24,0,1100,100,1200,38.05%,17160,5.44,104,0.03,11100,4538,15638,4.96,1.41%,42,301,13,87,0,100,60,760,N/A,820,0.26,0,0,0,0,5,3,3,25,0,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,na,Municipal,No,LibraryWorld,"117 Main St.
Chester, VT 05143
(43.26384310700047, -72.59709102499966)",68,http://chester.govoffice.com,Chester
2008-2009,VT0118,POMFRET,Abbott Memorial,PO Box 95,15 Library Street,Windsor,(802) 457-2236,22,12/31/2008,955,0,0,16,0.4,15.8,0.39,31.8,0.79,4,1272,$0.00,$0.00,$0.00,$0.00,$0.00,$27667.00,$28.97,$10695.00,$38362.00,$50.00,$0.00,$21030.00,$21080.00,$0.00,$1713.00,$69.00,$704.00,$2486.00,$2.60,$22453.00,$1744.00,$24197.00,$9960.00,$36643.00,$38.37,$7877.00,$0 ,2250,3250,5500,5.76,0,35,95,130,153,52,205,5835,4,1,5,15,0,350,100,450,47.12%,2600,2.72,N/A,N/A,1516,1661,3177,3.33,54.45%,20,263,4,41,0,45,66,442,0,508,0.53,2,0,12,2,1,2,3,2,high speed,No,N/A,86,Municipal,No,N/A,"15 Library Street
S. Pomfret, VT 05067
(43.66499196500047, -72.53911417699965)",95,N/A,S. Pomfret
2011-2012,VT0119,POULTNEY,Poultney Public,"205 Main St., Ste 1","205 Main St.,",Rutland,(802) 287-5556,34,06/30/2012,3446,0,0,38,0.9375,53,1.325,91,2.2625,0,1680,$0.00,$0.00,$0.00,$0.00,$0.00,$107113.00,$31.08,$3036.00,$110149.00,$100.00,$102.00,$0.00,$202.00,N/A,N/A,N/A,N/A,$15379.00,$4.46,$61012.00,$20289.00,$81301.00,$13469.00,$110149.00,$31.96,$202.00,$0 ,9325,4800,14125,4.1,0,838,492,1330,233,124,357,15812,42,1,43,25,0,2173,319,2492,72.32%,36296,10.53,4784,1.39,17789,8875,26664,7.74,1.69%,62,343,22,36,5,63,257,712,44,1013,0.29,23,0,3,14,10,N/A,75,25,high speed,No,N/A,y-86,Municipal,Yes,Mandarin,"205 Main St.,
Poultney, VT 05764
(43.51705210400047, -73.23696118299966)",1191,poultneypubliclibrary.com,Poultney
2008-2009,VT0049,DERBY LINE,Haskell Free,PO Box 337,93 Caswell Ave.,Orleans,(802) 873-3022,38,11/30/2008,2447,0,0,35,0.88,111,2.78,146,3.65,13,2100,$0.00,$0.00,$57896.00,$0.00,$57896.00,$1000.00,$0.41,$134181.00,$135181.00,$0.00,$3407.00,$2538.00,$5945.00,$0.00,$12074.00,$175.00,$7006.00,$19255.00,$7.87,$132814.00,$12850.00,$145664.00,$110513.00,$275432.00,$112.56,$5945.00,$0 ,N/A,N/A,20000,8.17,0,1125,375,1500,432,176,608,22108,9,30,39,25,0,N/A,N/A,3022,123.5%,23296,9.52,39,0.02,29870,24857,54727,22.36,247.54%,205,384,36,101,0,137,389,987,0,1376,0.56,0,8,0,8,3,25,75,15,high speed,No,N/A,86,Incorporated,Yes,MulitLIS,"93 Caswell Ave.
Derby Line, VT 05830
(45.00556711000047, -72.09766222999963)",337,haskellopera.org,Derby Line
2008-2009,VT0105,NEWFANE,Moore Free,PO Box 208,23 West St.,Windham,(802) 365-7948,22,09/30/2009,1720,28,0.7,28,0.7,2,0.05,30,0.75,46,4000,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$73509.00,$73509.00,,,,$0.00,$0.00,N/A,N/A,N/A,$9366.00,$5.45,$28800.00,$2203.00,$31003.00,$40208.00,$80577.00,$46.85,$0.00,$0 ,14200,2575,16775,9.75,0,1475,485,1960,635,210,845,19580,9,0,9,21,0,N/A,N/A,1973,114.71%,7384,4.29,9,0.01,9629,4453,14082,8.19,71.92%,14,252,18,11,0,29,423,142,0,565,0.33,6,0,9,2,2,5,15,10,high speed,No,N/A,No,Incorporated,No,N/A,"23 West St.
Newfane, VT 05345
(42.98670903600049, -72.65659576099966)",208,N/A,Newfane
2008-2009,VT0160,TROY,Wm. & Lucy Rand Memorial,PO Box 509,160 Railroad St.,Orleans,(802) 988-4741,20,12/31/2007,2241,20,0.5,0,0,0,0,0,0,0,2300,N/A,N/A,N/A,$1027.00,$1027.00,$19577.00,$8.74,$1615.00,$21192.00,,,,$0.00,$0.00,$2467.00,$0.00,N/A,$2467.00,$1.10,$10520.00,$805.00,$11325.00,$7665.00,$21457.00,$9.57,$0.00,$0 ,4358,4398,8756,3.91,0,0,0,464,135,22,157,9377,17,0,17,0,0,N/A,N/A,1455,64.93%,3120,1.39,20,0.01,4358,4398,8756,3.91,93.38%,13,83,44,91,22,157,237,1292,223,1752,0.78,236,300,N/A,7,6,2,25,25,high speed,Yes,N/A,86,Municipal,No,N/A,"160 Railroad St.
North Troy, VT 05859
(44.997386393000454, -72.40538249399964)",509,troyvt.org,North Troy
2010-2011,VT0202,ALBANY,Albany Town,PO Box 512 ,530 Main St.,Orleans,(802) 755-6107,14,12/31/2010,941,0,0,12,0.3,0,0,12,0.3,5,800,$0.00,$0.00,$0.00,$0.00,$0.00,$4500.00,$4.78,$2184.00,$6684.00,$0.00,$0.00,$27500.00,$27500.00,$0.00,$1260.00,$57.00,$50.00,$1367.00,$1.45,$4059.00,$260.00,$4319.00,$1823.00,$7509.00,$7.98,$0.00,"$2,850 ",2600,2000,4600,4.89,0,90,398,488,60,N/A,60,5148,2,0,2,23,0,N/A,N/A,269,28.59%,1092,1.16,520,0.55,N/A,N/A,1884,2,0.37%,12,54,N/A,1,N/A,1,0,N/A,0,0,0,0,12,0,0,3,2,0,10,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,Municipal,No,N/A,"530 Main St.
Albany, VT 05820
(44.73502558500047, -72.37861220299965)",512,www.albanytownlibrary.weebly.com,Albany
2008-2009,VT0130,ROXBURY,Roxbury Free,PO Box 95,1491 Roxbury Rd.,Washington,(802) 485-6860,14,06/30/2009,555,0,0,10,0.25,0,0,10,0.25,20,690,$15000.00,$0.00,$0.00,$3560.00,$18560.00,$11000.00,$19.82,$5199.00,$16199.00,$50.00,,,$50.00,$0.00,N/A,N/A,N/A,$2168.00,$3.91,$7185.00,$670.00,$7855.00,$5482.00,$15505.00,$27.94,$50.00,"$32,945 ",2550,2550,5100,9.19,0,80,40,120,90,45,135,5355,5,1,6,0,0,N/A,N/A,404,72.79%,2340,4.22,4,0.01,N/A,N/A,2517,4.54,47%,2,101,N/A,N/A,0,41,N/A,N/A,0,750,1.35,5,6,4,3,2,20,12,8,high speed,No,N/A,86,Municipal,No,N/A,"1491 Roxbury Rd.
Roxbury, VT 05669
(44.093448570000476, -72.73309558999966)",95,N/A,Roxbury
2008-2009,VT0060,GEORGIA,Georgia Public,1697 Ethan Allen Hwy.,100 feet north of exit 18 on I-89 S,Franklin,(802) 524-4643,44,12/31/2008,4507,0,0,24,0.6,30.5,0.76,54.5,1.36,15,7000,$0.00,$0.00,$0.00,$0.00,$0.00,$69833.00,$15.49,$2215.00,$72048.00,$150.00,$100.00,$0.00,$250.00,N/A,$8339.00,$0.00,$2003.00,$10342.00,$2.29,$33895.00,$6949.00,$40844.00,$14686.00,$65872.00,$14.62,$0.00,$0 ,N/A,N/A,16000,3.55,0,N/A,N/A,1123,N/A,N/A,836,17959,35,6,41,21,0,N/A,N/A,1900,42.16%,15964,3.54,15,0,N/A,N/A,32041,7.11,178.41%,70,155,57,70,0,127,257,2249,0,2506,0.56,20,520,0,9,5,30,22,0,high speed,No,N/A,86,Municipal,Yes,Athena,"100 feet north of exit 18 on I-89 S
Fairfax, VT 05454
(44.695007080000494, -73.03241785299963)",5430,N/A,Fairfax
2009-2010,VT0149,STARKSBORO,Starksboro Public,PO Box 124 ,2827 Rte. 116,Addison,(802) 453-3732,17.75,06/30/2010,1944,0,0,17,0.43,8,0.2,25,0.63,10,1500,$0.00,$0.00,$0.00,$0.00,$0.00,$21750.00,$11.19,$1984.00,$23734.00,$0.00,$50.00,$0.00,$50.00,N/A,$1917.00,$100.00,$0.00,$2017.00,$1.04,$13495.00,$1785.00,$15280.00,$6444.00,$23741.00,$12.21,$0.00,$0 ,2340,3404,5744,2.95,0,536,131,667,N/A,N/A,636,7047,N/A,N/A,10,1,0,N/A,N/A,686,35.29%,3224,1.66,0,0,1439,2050,3489,1.79,0.5%,3,145,113,68,N/A,181,476,1122,N/A,1598,0.82,4,0,4,3,1,0,12,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,y-86,Municipal,No,n/a,"2827 Rte. 116
Starksboro, VT 05487
(44.22521294900048, -73.05698778199962)",124,n/a,Starksboro
2007-2008,,MONKTON,Russell Memorial,PO Box 39 ,4333 State Prison Hollow Rd.,Addison,8024534471,14,12/31/2007,1981,0,0,14,0.35,0,0,14,0.35,2,600, $- , $- , $- , $- , $- ,$13824.00,$6.98,$2344.00,$16168.00, $- , $- , $- , $- , $- , na , $- , na ,$1991.00,$1.01, na , na ,$10061.00,$2850.00,$14902.00,$7.52, $- , $- ,na,na,3694,1.86,0,25,0,25,103,27,130,3849,2,0,2,0,0,na,na,534,27%,1300,0.66,104,0.05,771,499,1270,0.64,0.33%,0,6,1,4,,5,na,29,,na,na,0,0,0,1,1,12,1,na,high speed,no,,86,,,,"4333 State Prison Hollow Rd.
Monkton, VT 05469
(44.25427423400049, -73.12308526299967)",39,,Monkton
2010-2011,VT0079,JAMAICA,Jamaica Memorial,PO Box 266,17 Depot St.,Windham,(802) 874-4901,4.69,06/30/2011,1035,0,0,10,0.26,0,0,10,0.26,148,1932,$0.00,$0.00,$0.00,$0.00,$0.00,$10000.00,$9.66,$7853.00,$17853.00,$0.00,$3000.00,$0.00,$3000.00,$0.00,$250.00,$0.00,$0.00,$250.00,$0.24,$7050.00,$300.00,$7350.00,$8982.00,$16582.00,$16.02,$0.00,"$3,000 ",4692,2063,6755,6.53,0,126,141,267,326,38,364,7386,10,0,10,23,0,380,30,410,39.61%,3432,3.32,624,0.6,314,679,993,0.96,0.13%,0,124,8,15,3,26,17,118,13,148,0.14,4,1,0,0,3,3,5,6,36,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,0,Municipal,No,0,"17 Depot St.
Jamaica, VT 05343
(43.1002868060005, -72.77831990099963)",266,www.jamaicavtlibrary.org,Jamaica
2009-2010,VT0127,RICHMOND,Richmond Free Library,P.O. Box 997,201 Bridge St.,Chittenden,(802) 434-3036,39.31,06/30/2010,4146,32,0.8,34,0.85,50,1.25,84,2.1,18,5000,$20910.00,$0.00,$0.00,$0.00,$20910.00,$154212.00,$37.20,$3396.00,$157608.00,$100.00,$339.00,$0.00,$439.00,$1015.00,N/A,N/A,N/A,$11005.00,$2.65,$98717.00,$20276.00,$118993.00,$25126.00,$155124.00,$37.42,$0.00,"$12,910 ",12580,9296,21876,5.28,0,467,205,672,1315,177,1492,23368,64,5,69,21,0,N/A,N/A,2548,61.46%,0,0,1872,0.45,N/A,N/A,44631,10.76,1.91%,188,403,127,115,N/A,242,1905,1329,N/A,3234,0.78,7,0,0,9,5,0,61,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,y-98,Municipal,Yes,Follett,"201 Bridge St.
Richmond, VT 05477
(44.40322733700049, -72.99505855899963)",9908,www.richmondfreelibraryvt.org,Richmond
