Town_ID,Town_Name,County,Type,Population,Square_KM,Square_MI,Altitude,Postal_Code,URL,Incorporated_Villages,Clerk_First_Name,Clerk_Last_Name,Mailing_Address,Mailing_City,Mailing_State,Mailing_Zip,Physical_Address,Physical_City,Physical_State,Physical_Zip,Office_Phone,Office_Fax,Clerk_Email,Clerk_Hours,Location 1
44,Cavendish,Windsor,Town,1470,102.8,39.7,920,05142,http://www.cavendishvt.com/,NULL,Jane,Pixley,P.O. Box 126,Cavendish,VT,05142,37 High St,Cavendish,VT,05142,802-226-7291,802-226-7290,j.pixley@comcast.net,M T Th F 9-12 and 1-4:30; W 9-12 and 1-6,"37 High St
Cavendish, VT 05142
(43.38280025900008, -72.60750587499996)"
65,East Montpelier,Washington,Town,2578,83.2,32.1,727,05651,http://eastmontpeliervt.org,NULL,Teresa,Conti,P.O. Box 157,East Montpelier,VT,05651,40 Kelton Road,East Montpelier,VT,05651,802-223-3313,802-223-4467,eastmonttct@comcast.net,M-Th 9-5; F 9-12,"40 Kelton Road
East Montpelier, VT 05651
(44.27291606700004, -72.48571775299996)"
170,Rockingham,Windham,Town,5309,109.6,42.3,320,05101,http://www.rockbf.org/,"Bellows Falls, Saxtons River",Doreen,Aldrich,P.O. Box 339,Bellows Falls,VT,05101,7 The Square,Bellows Falls,VT,05101,802-463-4336,802-463-1228,daldrich@rockbf.org,M-F 8:30-4:30,"7 The Square
Bellows Falls, VT 05101
(43.134082524000064, -72.44428882299997)"
100,Huntington,Chittenden,Town,1861,98.8,38.1,623,05462,http://huntingtonvt.org/,NULL,Heidi,Racht,4930 Main Road,Huntington,VT,05462,4930 Main Road,Huntington,VT,05462,802-434-2032,NULL,huntingtonclerk@gmavt.net,M 7-7; T-Th 8-3,"4930 Main Road
Huntington, VT 05462
(44.29537749700006, -72.96616396099995)"
58,Danville,Caledonia,Town,2211,158.4,61.2,1341,05828,http://www.danvillevt.com/,NULL,Wendy,Somers,P.O. Box 183,Danville,VT,05828,36 Route 2 W,Danville,VT,05828,802-684-3352,802-684-9606,danvtc36@yahoo.com,M-F 8-4,"36 Route 2 W
Danville, VT 05828
(44.41148717400006, -72.14087091799996)"
5,Arlington,Bennington,Town,2397,109.9,42.4,691,05250,http://www.arlingtonvt.org/,NULL,Robin,Wilcox,P.O. Box 304,Arlington,VT,05250,3828 VT Route 7A,Arlington,VT,05250,802-375-2332,802-375-2332,Townclerk@arlingtonvt.org,M-F 9-2,"3828 VT Route 7A
Arlington, VT 05250
(43.07386659000008, -73.15426705299996)"
249,Winhall,Bennington,Town,702,114,44,1293,05340,http://www.winhall.org/,NULL,Elizabeth,Jenks,P.O. Box 389,Bondville,VT,05340,3 River Road,Bondville,VT,05340,802-297-2122,802-297-2582,winclerk@comcast.net,M-Th 9-12; and by appt.,"3 River Road
Bondville, VT 05340
(43.16946949800007, -72.91855698399996)"
43,Castleton,Rutland,Town,4367,109.7,42.4,439,05735,http://www.bsi-vt.com/castleton/,NULL,Katy,Thornblade,P.O. Box 727,Castleton,VT,05735,556 Main Street,Castleton,VT,05735,802-468-2212 x214,802-468-5482,casclerk@shoreham.net,M T Th 8:30-12:30 and 1:30-5; W 8:30-12:30 and 1:30-6,"556 Main Street
Castleton, VT 05735
(43.61202598500006, -73.17677687799994)"
232,West Haven,Rutland,Town,278,73.8,28.5,380,05743,NULL,NULL,Carol,Richards,2919 Main Road,West Haven,VT,05743,2919 Main Road,West Haven,VT,05743,802-265-4880,802-265-3828,westhaven@myfairpoint.net,M W 1-3:30; and by special appt.,"2919 Main Road
West Haven, VT 05743
(43.65192259000003, -73.33884185899996)"
236,Westford,Chittenden,Town,2086,101.8,39.3,464,05494,http://westfordvt.us/,NULL,Nanette,Rogers,1713 VT Route 128,Westford,VT,05494,1713 VT Route 128,Westford,VT,05494,802-878-4587,802-879-6503,townclerk@westfordvt.us,M-F 8:30-4:30 (July & August close at 1 on Fri),"1713 VT Route 128
Westford, VT 05494
(44.61201647300004, -73.01100039799996)"
190,Springfield,Windsor,Town,9078,128.1,49.5,410,05156,http://www.springfieldvt.govoffice2.com/,NULL,Meredith,Kelley,96 Main Street,Springfield,VT,05156,96 Main Street,Springfield,VT,05156,802-885-2104,802-885-1617,tosclerk@vermontel.net,M-F 8-4:30,"96 Main Street
Springfield, VT 05156
(43.29674670000003, -72.48156147299994)"
209,Townshend,Windham,Town,1149,110.8,42.8,547,05353,http://www.townshendvt.net/,Townshend,Anita,Bean,P.O. Box 223,Townshend,VT,05353,2006 VT Route 30,Townshend,VT,05353,802-365-7300,802-365-7309,tnclk@svcable.net,M T F 9-4; W 8-4,"2006 VT Route 30
Townshend, VT 05353
(43.045672559000025, -72.66711917499998)"
141,Newfane,Windham,Town,1680,104.6,40.4,536,05345,http://www.newfanevt.com/,Newfane,Gloria,Cristelli,P.O. Box 36,Newfane,VT,05345,555 VT Route 30,Newfane,VT,05345,802-365-7772 x10,802-365-7692,tclerknewfane@svcable.net,M-Th 8-6; and by appt.,"555 VT Route 30
Newfane, VT 05345
(42.983678645000055, -72.65588557899997)"
238,Westmore,Orleans,Town,306,97,37.5,1170,05860,http://www.westmoreonline.org/main/,NULL,Greg,Gallagher,54 Hinton Hill Road,Orleans,VT,05860,54 Hinton Hill Road,Orleans,VT,05860,802-525-3007,802-525-1131,clerk@westmoreonline.org,M-Th 8:30-4; and by appt.,"54 Hinton Hill Road
Orleans, VT 05860
(44.771593677000055, -72.05397619399997)"
45,Charleston,Orleans,Town,895,100,38.6,1196,05872,http://www.charlestonvt.org/,NULL,Jeannine,Bennett,5063 VT Route 105,West Charleston,VT,05872,5063 VT Route 105,West Charleston,VT,05872,802-895-2814,802-895-2814,townofcharlestonvt@comcastnet,M T Th 8-3,"5063 VT Route 105
West Charleston, VT 05872
(44.849769355000035, -72.02480003599999)"
94,Hartford,Windsor,Town,10367,118.9,45.9,371,05001,http://www.hartford-vt.org/,NULL,Mary,Hill,171 Bridge Street,White River Junction,VT,05001,171 Bridge Street,White River Junction,VT,05001,802-295-2785,802-295-6382,mhill@hartford-vt.org,M-F 8-5,"171 Bridge Street
White River Junction, VT 05001
(43.651401759000066, -72.31768164799996)"
92,Hancock,Addison,Town,382,99.6,38.5,912,05748,NULL,NULL,Sara,Deering,P.O. Box 100,Hancock,VT,05748,48 VT Route 125,Hancock,VT,05748,802-767-3660,802-368-7390,hancocktwnclerk@yahoo.com,"M 2-6, T-Th 10-4","48 VT Route 125
Hancock, VT 05748
(43.92630785500006, -72.84237210399994)"
176,Ryegate,Caledonia,Town,1150,95.3,36.8,1060,05042,http://www.ryegatevt.org/,South Ryegate,Marsha,Nelson,P.O. Box 332,Ryegate,VT,05042,18 South Bayley-Hazen Road,Ryegate,VT,05402,802-584-3880,802-584-3880,ryegateclerk@yahoo.com,M-W 1-5; F 9-1,"18 South Bayley-Hazen Road
Ryegate, VT 05402
(44.208274852000045, -72.10356325499998)"
157,Plymouth,Windsor,Town,555,126.1,48.7,1217,05056,http://www.plymouthvt.org,NULL,Rachel,Lynds,68 Town Office Road,Plymouth,VT,05056,68 Town Office Road,Plymouth,VT,05056,802-672-3655,802-672-5466,clerk@plymouthvt.org,M-Th 8-4:30,"68 Town Office Road
Plymouth, VT 05056
(43.53430803300006, -72.74255445599994)"
108,Johnson,Lamoille,Town,3274,116.8,45.1,516,05656,http://townofjohnson.com/,Johnson,Rosemary,Audibert,P.O. Box 383,Johnson,VT,05656,293 Lower Main West,Johnson,VT,05656,802-635-2611,802-635-2393,raudibert@townofjohnson.com,M-F 7:30-4,"293 Lower Main West
Johnson, VT 05656
(44.636411432000045, -72.68473180199999)"
248,Windsor,Windsor,Town,3756,51.2,19.8,362,05089,http://www.windsorvt.org/,NULL,Sandra,Micka,P.O. Box 47,Windsor,VT,05089,29 Union Street,Windsor,VT,05089,802-674-5610,802-674-1017,smicka@windsorvt.org,M-Th 8-5; F 8-12,"29 Union Street
Windsor, VT 05089
(43.47730349900007, -72.39220432299999)"
120,Lyndon,Caledonia,Town,5448,103.1,39.8,720,05851,http://www.lyndonvt.org/,Lyndonville,Lisa,Barrett,P.O. Box 167,Lyndonville,VT,05851,119 Park Avenue,Lyndonville,VT,05851,802-626-5785,802-626-1265,ltc@kingcon.com,M-F 7:30-4:30,"119 Park Avenue
Lyndonville, VT 05851
(44.53578727000007, -72.00636966999997)"
97,Hinesburg,Chittenden,Town,4340,103.9,40.1,241,05461,http://www.hinesburg.org/,NULL,Melissa,Ross,P.O. Box 133,Hinesburg,VT,05461,10632 Route 116,Hinesburg,VT,05461,802-482-2281,802-482-5404,hinesburgclerk@gmavt.net,M T Th F 8-4; W 10-6,"10632 Route 116
Hinesburg, VT 05461
(44.32935252600004, -73.11036742099998)"
210,Troy,Orleans,Town,1564,93.4,36.1,764,05859,http://www.troyvt.org/,North Troy,Terri,Medley,142 Main Street,North Troy,VT,05859,142 Main Street,North Troy,VT,05859,802-988-2663,802-988-4692,townoftroy@comcast.net,M-Th 9-12 and 1-5,"142 Main Street
North Troy, VT 05859
(44.99533569400006, -72.40498888899998)"
88,Groton,Caledonia,Town,876,142.4,55,773,05046,http://www.grotonvt.com/,Groton,Linda,Nunn,1476 Scott Highway,Groton,VT,05046,1476 Scott Highway,Groton,VT,05046,802-584-3276,802-584-3276,grotonclerk@fairpoint.net,M T Th 8:30-12:30 and 1-5; W F 8:30-12:30,"1476 Scott Highway
Groton, VT 05046
(44.21120561500004, -72.19749174099996)"
172,Royalton,Windsor,Town,2603,106,40.9,513,05068,http://www.royaltonvt.com,NULL,Leanna,Stickney,P.O. Box 680,South Royalton,VT,05068,23 Alexander Place #1,South Royalton,VT,05068,802-763-7207,802-763-7207,royalclerk@bluemoo.net,M-Th 8-3,"23 Alexander Place #1
South Royalton, VT 05068
(43.81810467300005, -72.51966397599995)"
57,Danby,Rutland,Town,1292,107.6,41.5,790,05739,NULL,NULL,Janice,Arnold,P.O. Bo 231,Danby,VT,05739,130 Brook Road,Danby,VT,05739,802-293-5136,802-293-5311,danbytownclerk@vermontel.net,M-Th 9-12 and 1-4,"130 Brook Road
Danby, VT 05739
(43.34642617800006, -72.99899707899993)"
93,Hardwick,Caledonia,Town,3174,100.7,38.9,861,05843,http://hardwickvt.org/,NULL,Alberta,Miller,P.O. Box 523,Hardwick,VT,05843,20 Church St,Hardwick,VT,05843,802-472-5971,802-472-3793,hardwicktc@vtlink.net,M-Th 8-4:30; F 8-4,"20 Church St
Hardwick, VT 05843
(44.50574382600007, -72.36468552799994)"
90,Guilford,Windham,Town,2046,103.5,40,400,05301,http://www.guilfordschool.org/,NULL,Joe,Hunt,236 School Road,Guilford,VT,05301,236 School Road,Guilford,VT,05301,802-254-6857,802-257-5764,guilfordtc@yahoo.com,"M 9-6, T Th 9-4; W 9-12; F by appt only","236 School Road
Guilford, VT 05301
(42.79913725500006, -72.62379337899995)"
33,Brookline,Windham,Town,467,33.4,12.9,570,05345,http://www.brooklinevt.com,NULL,Penny,Harrington,P.O. Box 403,Newfane,VT,05345,736 Grassy Brook Road,Brookline,VT,05345,802-365-4648,802-365-4092,brook763@comcast.net,T Th 9-2; 1st Sat. 9-12,"736 Grassy Brook Road
Brookline, VT 05345
(43.02210364100006, -72.60399658399996)"
35,Brunswick,Essex,Town,107,67.3,26,1000,05905,NULL,NULL,Sharon,Graham,944 VT Route 102,Brunswick,VT,05905,944 VT Route 102,Brunswick,VT,05905,802-962-5514,802-962-5522,bruns321@sover.net,Th 4-6; or by appt.,"944 VT Route 102
Brunswick, VT 05905
(44.73669258800004, -71.63283055099998)"
179,Searsburg,Bennington,Town,96,55.9,21.6,1734,05363,NULL,NULL,Josephine,Kilbride,P.O. Box 157,Wilmington,VT,05363,18 Town Garage Road,Searsburg,VT,05363,802-464-8081,802-464-8081,josiekil@yahoo.com,M 8-4; T F 8-12,"18 Town Garage Road
Searsburg, VT 05363
(42.89570192800005, -72.97756809399993)"
63,Duxbury,Washington,Town,1289,111.6,43.1,550,05676,http://www.duxburyvermont.org/,NULL,J Kenneth,Scott,5421 VT Route 100,Duxbury,VT,05676,5421 VT Route 100,Duxbury,VT,05676,802-244-6660,802-244-5442,duxbury1@myfairpoint.net,M 8-4; T Th F 7:30-3:30; W 10-6,"5421 VT Route 100
Duxbury, VT 05676
(44.319559283000046, -72.75936739999997)"
191,St. Albans,Franklin,City,7650,5.3,2,388,05478,http://www.stalbansvt.com/,NULL,Susan,Krupp,P.O. Box 867,St Albans,VT,05478,100 North Main Street,St Albans,VT,05478,802-524-1500 x264,802-524-1516,s.krupp@stalbansvt.com,M-F 7:30-4,"100 North Main Street
St Albans, VT 05478
(44.81326594900003, -73.08302838199995)"
200,Strafford,Orange,Town,1045,114.8,44.3,930,05072,http://www.townofstraffordvt.com/,NULL,Lisa,Kendall,P.O. Box 27,Strafford,VT,05072,227 Justin Morrill Highway,Strafford,VT,05072,802-765-4411,802-765-9621,townclerk@straffordvt.org,M-Th 7:30-4:30,"227 Justin Morrill Highway
Strafford, VT 05072
(43.877935680000064, -72.38246585999997)"
60,Dorset,Bennington,Town,2036,123.9,47.9,802,05253,http://www.dorsetvt.org/,NULL,Sandra,Pinsonault,P.O. Box 24,East Dorset,VT,05253,112 Mad Tom Road,East Dorset,VT,05253,802-362-1178 x2,802-362-5156,dorsetclerk@gmail.com,M-Th 8:30-3:30; F 8-12; and by appt.,"112 Mad Tom Road
East Dorset, VT 05253
(43.23945179200007, -73.00790421699998)"
84,Granby,Essex,Town,86,101.2,39.1,1500,05840,NULL,NULL,Nellie,Noble,P.O. Box 56,Granby,VT,05840,9005 Granby Road,Granby,VT,05840,802-328-3611,802-328-2200,granby@wildblue.net,By appointment only,"9005 Granby Road
Granby, VT 05840
(44.57000543100003, -71.75836059899996)"
130,Monkton,Addison,Town,1759,93.8,36.2,533,05469,http://www.monktonvt.com,NULL,Carmelita,Burrit,P.O. Box 12,Monkton,VT,05469,280 Monkton Ridge,Monkton,VT,05473,802-453-3800,802-453-3612,townclerk@monktonvt.com,M T Th F 8-1; Sat 8:30-12,"280 Monkton Ridge
Monkton, VT 05473
(44.253923006000036, -73.12395743199994)"
52,Concord,Essex,Town,1196,138.5,53.5,860,05824,http://www.concordvt.us/,NULL,Donna,Berry,P.O. Box 317,Concord,VT,05824,374 Main Street,Concord,VT,05824,802-695-2220,802-695-2552,townclerk@conclerk.com,M Th F 9-3; T 12-6,"374 Main Street
Concord, VT 05824
(44.42872185300007, -71.88803263299997)"
61,Dover,Windham,Town,1410,91.4,35.3,1860,05356,http://www.doververmont.com/,NULL,Andy,McLean,P.O. Box 527,West Dover,VT,05356,102 Route 100,West Dover,VT,05356,802-464-5100,802-464-8721,dvrclerk@sover.net,M-F 9-5,"102 Route 100
West Dover, VT 05356
(42.93726242900004, -72.84979156299994)"
149,Orwell,Addison,Town,1185,128.7,49.7,385,05760,http://www.town-of-orwell.org/,NULL,Susan Ann,Arnebold,P.O. Box 32,Orwell,VT,05760,436 Main Street,Orwell,VT,05760,802-948-2032,NULL,tckorwel@sover.net,M T Th 9:30-12 and 1-3:30; F 9:30-12 and 1-6,"436 Main Street
Orwell, VT 05760
(43.803497191000076, -73.30140216799998)"
233,West Rutland,Rutland,Town,2535,46.6,18,500,05777,http://www.westrutlandtown.com/,NULL,Jayne,Pratt,35 Marble Street,West Rutland,VT,05777,35 Marble Street,West Rutland,VT,05777,802-438-2204,802-438-5133,crwener@westrutlandtown.com,M-Th 9-12 and 1-4; and by appt.,"35 Marble Street
West Rutland, VT 05777
(43.59484315800006, -73.04807160899998)"
211,Tunbridge,Orange,Town,1309,115.9,44.8,600,05077,http://www.tunbridgevt.com/,NULL,Wendy,McCullough,P.O. Box 6,Tunbridge,VT,05077,271 VT Route 110,Tunbridge,VT,05077,802-889-5521,802-889-3744,townclerk@tunbridge.biz,M 8:30-12 and 1-4; T W 8-12 and 1-4; Th 8-11 and 1-4; Fri 9-12 (Nov-April); and by appt.,"271 VT Route 110
Tunbridge, VT 05077
(43.887470886000074, -72.49410521299995)"
29,Bridport,Addison,Town,1235,119.8,46.2,320,05734,NULL,NULL,Valerie,Bourgeois,P.O. Box 27,Bridport,VT,05734,82 Crown Point Road,Bridport,VT,05734,802-758-2483,NULL,bridporttown@gmavt.net,M T F 9-4; W 9-12 and 1-4; Th 9-12,"82 Crown Point Road
Bridport, VT 05734
(43.98447448500008, -73.31489095799998)"
95,Hartland,Windsor,Town,3223,117,45.2,587,05048,http://www.hartland.govoffice.com,NULL,Clyde,Jenne,P.O. Box 349,Hartland,VT,05048,1 Quechee Road,Hartland,VT,05048,802-436-2444,802-436-2464,hardlandvtclerk@vermontel.net,M-F 7-5; and by appt.,"1 Quechee Road
Hartland, VT 05048
(43.54124016000003, -72.39926435299998)"
