Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
Vital Records - Death (EDRS),Vital Records - Death (EDRS),Department of Health (AHS) / Division of Health Surveillance,Department of Health (AHS) / Division of Health Surveillance,http://healthvermont.gov/research/records/vital_records.aspx#overview,Cindy Hooley,cindy.hooley@vermont.gov,(802) 651-1636,"Although a physician, physician assistant, or advanced practice registered nurse is responsible for filing the death certificate, the job may be, and often is, delegated to the funeral director. Most of the information needed to complete the death certificate is obtained from the family of the deceased. A physician, physician assistant, or advanced practice registered nurse; however, must complete and certify the cause of death information. Once a death record is completed in the Electronic Death Registration System (EDRS), it is registered and the death certificate is available to the town clerks for filing.",,,Clinical,Provider,1985 - present (ongoing),SQL Server,Contractor Server,NA,Record level data available to public,,,"Vital Records data release is governed by HIPAA (such as the medical information) and VT law (such as public records statutes and vital records statutes). Please refer to 18 VSA, the chapter on Vital Records.  There are sections discussing release of certificates and a section regarding fetal deaths and ITOPs.","HIPPA, Other",Yes,,"Per the Secretary of State's Office, any request over 30 minutes is subject to a charge based on the published cost sheet for state services and materials.Anything under 30 minutes is free, but subject to our resources and availability.",None,None,,$4000000.00,$150000.00,NA,35,65,0,0,High,Yes,,Barbara Patterson,,,,
Vital Records - Birth (EBRS),Vital Records - Birth (EBRS),Department of Health (AHS) / Division of Health Surveillance,Department of Health (AHS) / Division of Health Surveillance,http://healthvermont.gov/research/records/vital_records.aspx#overview,Cindy Hooley,cindy.hooley@vermont.gov,(802) 651-1636,"When a birth occurs, the physician, midwife, or other birth attendant is required to complete a birth certificate and file it with the town clerk in the town of birth within 5 days. For hospital births, it is usually the medical records staff who complete the birth certificate. The completed birth certificate is recorded and filed in the town where the birth took place, and a certified copy is sent to the Health Department.",,,Clinical,,1980 - present (ongoing),SQL Server,Contractor Cloud,NA,Data available to public with data use agreement,,,"Vital Records data release is governed by HIPAA (such as the medical information) and VT law (such as public records statutes and vital records statutes). Please refer to 18 VSA, the chapter on Vital Records.  <br /><br />Births can only be released at record level for the public version of the birth certificate.  The medical portion cannot be released except de-identified or under data use agreement requirements.","HIPPA, Other",Yes,,"Per the Secretary of State's Office, any request over 30 minutes is subject to a charge based on the published cost sheet for state services and materials.Anything under 30 minutes is free, but subject to our resources and availability.",None,None,,$2500000.00,$75000.00,NA,35,65,0,0,High,Yes,,Barbara Patterson,,,,
Provider Electronic Solutions,Provider Electronic Solutions,Department of Mental Health / ,,,"McSherry, Cara",cara.mcsherry@state.vt.us,,HP's Provider Electronic Solutions Program is designed to provide the billing provider with a faster and more efficient method of transaction submission and processing. Provider Electronic Solutions is a transaction entry software package developed by HP that meets the standards implemented by HIPAA. The software allows for electronic transaction submission directly to the Northeast Regional HIPAA Translator.  Electronic submission of Medicaid claims,,,Financial,,,SQL Server,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,David Healy,,HP HIPAA,DMH-Fin,
APS C3,APS C3,Department of Vermont Health Access (AHS DVHA) / ,,,"Girling, Eileen",eileen.girling@state.vt.us,,"Case management system. Document interventions toward clinical health improvements using holistic approach; and financial savings resulting (vendor vs. state capability to calculate); operating and business management reports (again, vendor vs. state capacity to generate)",,,"Utilization
Services Provided",,,SQL Server,,,No access to data,,No Access / No Publication,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
DocSite Clinical Data Repository,DocSite Clinical Data Repository,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,,Tim Tremblay,timothy.tremblay@vermont.gov,(802) 654-8923,"Clinical data repository, hosted in the Covisint Docsite software platform. Data is populated from Electronic Health Record systems via messaging from the Vermont Health Information Exchange and flat file transfers, as well as from direct data entry via web portal by core and extended Community Health Team staff.  Contains Self-Management and Medicare SASH data.<br /><br />At the time this information was collected (12/3/2105), the Blueprint the system is currently offline and the Blueprint is pursuing means for restoring the clinical registry.",Part of the Blueprint's mandate.,VHIE/Medicity - Clinical Dataset,Clinical,"Provider
Clinical Record",2010 - present,SQL Server,Contractor Server,NA,No access to data,,,,HIPPA,No,,,Incomplete,Full current documentation,,$1000000.00,$1500000.00,<1,66,44,0,0,High,Yes,Documentation not available to public,Barbara Patterson,,,,
Vermont Professional License Database ,Vermont Professional License Database / Online Lookup,Secretary of State - Office of Professional Regulation / ,Secretary of State - Office of Professional Regulation / ,https://secure.vtprofessionals.org/Lookup/LicenseLookup.aspx,Christopher WInters,chris.winters@sec.state.vt.us,(802) 828-2124,"This lookup serves as primary source verification of education, training and examination history, which has been performed as part of the licensure process.  With this search you can find licensing and disciplinary information about any of our current or former licensees","3 V.S.A. § 123, in particular, collecting data on professions and maintaining a register of licensees (sub (5) and (6)).<br />§ 123. Duties of Office<br />(a) The Office shall provide administrative, secretarial, financial, investigatory, inspection, and legal services to the boards. The administrative services provided by the Office shall include:<br />(1) Sending, receiving, and processing applications for licenses.<br />(2) Issuing, recording, renewing, and reinstating all licenses as ordered by the boards, an appellate officer, the Director, an administrative law officer, or a court.<br />(3) Revoking or suspending licenses as ordered by the boards, the Director, an administrative law officer, or a court.<br />(4) Keeping all files and records of the boards, including minutes of meetings.<br />(5) Compiling and maintaining a current register of all licensees.<br />(6) Compiling and maintaining statistical information for each board including the number of applications received; the number of licenses, certificates, registrations, and permits issued, renewed, and reinstated; examination results; the number and disposition of inspections and complaints; and the number of board meetings.<br />(7) Collecting and depositing all fees into the Professional Regulatory Fee Fund.<br />(8) Arranging payment of all expenses incurred by the boards within the limits of the funds appropriated to them.<br />(9) Standardizing, to the extent feasible and with the advice of the boards, all applications, licenses, and other related forms.<br />(10) Notifying the public and board members of all meetings and examinations to be held by the boards and arranging for places for those meetings and examinations.<br />(11) Assisting the boards in adopting, amending, and repealing rules.<br />(12) With the assistance of the boards, establishing a schedule of license renewal and termination dates so as to distribute the renewal work in the Office as effectively as possible. Licenses may be issued and renewed according to that schedule for periods of up to two years with an appropriate pro rata adjustment of fees. A person whose initial license is issued within 90 days prior to the set renewal date shall not be required to renew the license until the end of the first full biennial licensing period following initial licensure.<br />(13) To the extent that resources permit, providing other administrative services which are necessary or desirable for the efficient operation of the boards.<br />(b) The Director shall consult with each board and prepare a consolidated budget for the Office. The consolidated budget shall also contain funds deemed to be required by the Director for the administration of this chapter. The Director shall submit the consolidated budget to the Secretary of State.<br />(c) The Director may purchase examination materials and contract with examination providers to administer examinations.<br />(d) The Director may adopt procedures for the effective administration of this section.<br />(e) The Secretary of State shall contract with and appoint one or more attorneys licensed to practice in this State to serve as administrative law officers under subsection 129(j) of this title or appellate officers under section 130a of this title.<br />(f) Classified State employees who are employed as investigators by the Secretary of State who have successfully met the standards of training for a Level III law enforcement officer under 20 V.S.A. chapter 151 shall have the same powers as sheriffs in criminal matters and the enforcement of the law and in serving criminal process, and shall have all the immunities and matters of defense now available or hereafter made available to sheriffs in a suit brought against them in consequence for acts done in the course of their employment.<br />(g) The Office of Professional Regulation shall create a process for:<br />(1) accepting education, training, or service completed by a member of the U.S. Armed Forces toward the requirements of professional licensure or certification;<br />(2) creating a process for educational institutions under the supervision of a licensing board to award educational credits to a member of the U.S. Armed Forces for courses taken as part of the member's military training or service that meet the standards of the American Council on Education; and<br />(3) expediting the issuance of a professional license to a person:<br />(A) who is certified or licensed in another state;<br />(B) whose spouse is a member of the U.S. Armed Forces and who has been subject to a military transfer to Vermont; and<br />(C) who left employment to accompany his or her spouse to Vermont.",Vermont Professional License Database ,Licensing,Provider,"Online records consistently from 2009, sporadically before that",SQL Server,Contractor Cloud,> 50 GB,"Yes, record level data available`to public",Public,Web Application - Public,,None,No,$0.00,hollis.easter@sec.state.vt.us,Low,Full current documentation,"On disk, file available",$600.00,$120.00,<1,0,0,,,High,Yes,"information about licensees can, and in some cases is, being used to identify the location and extent of the health care workforce in Vermont and can be useful in allocating resources and/or incentivizing growth or movement to underserved areas.  Discipline data could also be used to address quality assurance and risk-based regulation of health care providers and feed back into educational efforts, appropriate regulation, and the potential for expanding or contracting the scope of practice of some professions as we take a team based approach to health care and hopefully allow each profession to practice up to its full potential base don the skills and training they each have.    ",Barbara Patterson,,"Health care workforce, taken from surveys required by OPR as part of license renewal",,
Blueprint for Health Analytics Dataset,Blueprint for Health Analytics Dataset,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,OnPoint Health / ,http://dvha.vermont.gov/administration/onpoint-contract-final-signed.pdf,Tim Tremblay,timothy.tremblay@state.vt.us,(802) 654-8923,"Blueprint analytics dataset, managed by Onpoint Health Data, combining claims (VHCURES), clinical (Docsite), and survey data.  Contains a specialized Medicare claims dataset authorized under the Medicare Multi-payer Advanced Primary Care Practice (MAPCP) Demonstration.",The Blueprint program itself has a legislative mandate and this data supports that program.,"DocSite Clinical Data Repository
VHCURES","Clinical
Claim","Clinical Record
Claim",2007+,SQL Server,Contractor Server,1 GB - 50 GB,No access to data,,"Report (PDF, Word)",Same use restriction that applies to VHCURES and the clinical dataset,"Agency restriction, HIPPA, Other, Other federal restriction",No,,,Low,Full current documentation,,,$1000000.00,<1,,,,,High,Yes,,Tim Tremblay,,,,
Hospital Budget Data,Hospital Budget Data,Green Mountain Care Board (GMCB) / ,Green Mountain Care Board (GMCB) / ,http://gmcboard.vermont.gov/hospitalbudgets,Mike Davis,mike.davis@state.vt.us,(802) 828-2989,"Detailed revenue, expenditure, utilization, capital and balance sheet data for Vermont's 14 non-profit community hospitals.  <br /><br />Hospitals login to dashboard to enter information<br />Trying to make dashboard available to GMCB and public<br />Public: Act 53 link at VDH",Yes - see statute reference 18 V.S.A. § 9451-9457,"Hospital Budget Data
Vermont Uniform Hospital Discharge Data Set (VUHDDS)  Public Use Files","Utilization
Financial",Provider,1988 - 2015,SQL Server,Contractor Cloud,100 MB - 1 GB,"Aggregate data only, digital format",Policymakers,"MS Excel
Report (PDF, Word)",na<br />Data set no easily available to public.  Summary info and reports available.   ,None,Yes,,,Complete,,"On disk, file available",$107000.00,$31000.00,3,,,,,High,No,There is an annual summary of the 14 hospitals data.  Reports and special analyses available.  Individual report of each <br />hospital available.  Meta data available including operations process.  <br />,Barbara Patterson,,VDH Act 53 Hospital<br />http://healthvermont.gov/hc/hospitalreportcard/finance_pricing.aspx<br />PDF reports that were provided to VDH in Excel by GMCB,,
Family Specific Respite Request Data [Excel],Family Specific Respite Request Data [Excel],Department of Mental Health / ,,, Tyler Blouin,tyler.blouin@state.vt.us,,Tracks the expense of respite services provided by designated agencies to individual children and youth to allow for analysis of  respite utilization..  Tracking and monitoring of respite expenses by designated agency and by individual child and/or youth.,,,"Youth
Services Provided
Financial",,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DMH-CAFU,
Expenditure Analysis,Expenditure Analysis,Green Mountain Care Board (GMCB) / ,Green Mountain Care Board (GMCB) / ,http://legislature.vermont.gov/assets/Documents/Reports/299512.PDF,Mike Davis,mike.davis@vermont.gov,(802) 828-2989,"source of Vermont health care spending.  The Vermont Health Care Expenditure Analysis presents two separate<br />reports 1) health care spending for services delivered in Vermont; and<br />2) for services provided to Vermont residents within Vermont and in<br />other states.<br /><br />Lags about a year.<br />Data sources don't align perfectly in terms of time <br />Source data from Medicaid, Medicare, VHCURES,Dept of Labor, Census, etc. - available in documentation<br />This is an Analytical Data Source and provide history of spending by year, payer, and provider.<br />Source data is on GMCB network.<br />Kate - Source of funding info? Mix of state $$",statute reference 18 V.S.A. § 9375a,"VUHDDS Research Data Set
Annual Statement Supplement Report (ASSR)
VHCURES Analytical Extracts - Truven
Workers Comp
Nursing Home Rate Setting Data
Hospital Budget Data
State Health Care Expenditure Data by Provider Location
State Health Care Expenditure Data by Residence 
VHCURES
Vermont Uniform Hospital Discharge Data Set (VUHDDS)  Public Use Files
Household Health Insurance Survey (VHHIS)","Utilization
Population
Provider Information
Financial
Claim","Provider
Claim
Survey",every year since 1992,SQL Server,Contractor Cloud,1 - 100 MB,"Aggregate data only, digital format","Policymakers
Public","MS Excel
Report (PDF, Word)",na,None,No,,Mike Davis 802 828-2989,Needs review,No documentation,Hard copy available,$107000.00,$31000.00,2,,,,,High,Yes,"Various - see Annual reports for graphs, charts, schedules, and narrative describing data.<br />Metadata - in process ",Charlie Hofmann,,Indirect link to VHCURES.  ,,
